%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter,field.hdop,field.gngga_read,field.fix_quality
1708069341194505533,109,1708104543000000000,GPS1_Frame,42.337227991666666,-71.086905525,5.174,328079.3923989807,4689328.540280189,19,T,1.1,,5
1708069342288578719,110,1708104544000000000,GPS1_Frame,42.337228233333335,-71.08690642166667,5.143,328079.3191865099,4689328.568928357,19,T,1.2,,5
1708069343295008914,111,1708104545000000000,GPS1_Frame,42.33722839666667,-71.08690726833333,5.119,328079.24987976864,4689328.588777114,19,T,1.2,,5
1708069344301927529,112,1708104546000000000,GPS1_Frame,42.33722858833333,-71.08690829666666,5.075,328079.16568380257,4689328.612139375,19,T,1.1,,5
1708069345391879034,113,1708104547000000000,GPS1_Frame,42.33722871,-71.08690905666667,5.028,328079.1034034672,4689328.627186141,19,T,1.3,,5
1708069346481192942,114,1708104548000000000,GPS1_Frame,42.337228898333336,-71.08690975833333,4.985,328079.0461105511,4689328.649517791,19,T,1.3,,5
1708069347570306563,115,1708104549000000000,GPS1_Frame,42.337229015,-71.086910345,4.932,328078.99809649517,4689328.66365889,19,T,1.3,,5
1708069348661831343,116,1708104550000000000,GPS1_Frame,42.33722918666667,-71.08691092833334,4.9,328078.95050694165,4689328.683900581,19,T,1.3,,5
1708069349753870039,117,1708104551000000000,GPS1_Frame,42.33722934833333,-71.08691143833333,4.871,328078.9089316358,4689328.702883577,19,T,1.3,,5
1708069350846463696,118,1708104552000000000,GPS1_Frame,42.33722954833333,-71.08691183833334,4.828,328078.87652304134,4689328.725900795,19,T,1.3,,5
1708069351934704921,119,1708104553000000000,GPS1_Frame,42.33722984166667,-71.08691247,4.789,328078.8252831559,4689328.759750365,19,T,1.0,,5
1708069353024163257,120,1708104554000000000,GPS1_Frame,42.337230185,-71.08691289666666,4.746,328078.7910682643,4689328.798737572,19,T,1.0,,5
1708069354117680823,121,1708104555000000000,GPS1_Frame,42.337230553333335,-71.08691331833333,4.707,328078.75733342615,4689328.840490727,19,T,2.4,,5
1708069355125818788,122,1708104556000000000,GPS1_Frame,42.337230945,-71.08691372833333,4.667,328078.7246233208,4689328.884811283,19,T,2.4,,5
1708069356129997086,123,1708104557000000000,GPS1_Frame,42.337231355,-71.08691417333333,4.617,328078.68907973554,4689328.931238382,19,T,2.4,,5
1708069357136356421,124,1708104558000000000,GPS1_Frame,42.33723098666667,-71.08691402166667,4.569,328078.700570874,4689328.890031127,19,T,1.3,,4
1708069358146116274,125,1708104559000000000,GPS1_Frame,42.337231835,-71.08691503,4.567,328078.6198121368,4689328.986270781,19,T,1.3,,5
1708069359152872062,126,1708104560000000000,GPS1_Frame,42.33723203666667,-71.08691520333333,4.546,328078.6060818132,4689329.00901478,19,T,1.4,,1
1708069360158135060,127,1708104561000000000,GPS1_Frame,42.33723221666666,-71.08691537666667,4.523,328078.5922924398,4689329.029352862,19,T,1.4,,1
1708069361169748894,128,1708104562000000000,GPS1_Frame,42.33723249333333,-71.08691567166667,4.491,328078.5687431098,4689329.060671032,19,T,2.4,,5
1708069362173019850,129,1708104563000000000,GPS1_Frame,42.33723262666667,-71.086915775,4.48,328078.56059344916,4689329.075685608,19,T,1.5,,1
1708069363176281842,130,1708104564000000000,GPS1_Frame,42.33723275333333,-71.08691603333334,4.468,328078.5396560867,4689329.090273288,19,T,1.5,,5
1708069364184311444,131,1708104565000000000,GPS1_Frame,42.33723308333333,-71.08691518,4.433,328078.6108564751,4689329.1251919465,19,T,1.3,,5
1708069365282872155,132,1708104566000000000,GPS1_Frame,42.33723354333333,-71.08691537333333,4.367,328078.59618247964,4689329.17666233,19,T,1.5,,4
1708069366290055431,133,1708104567000000000,GPS1_Frame,42.33723318166667,-71.08691564666667,4.415,328078.57267855306,4689329.137054648,19,T,1.1,,5
1708069367294717726,134,1708104568000000000,GPS1_Frame,42.337233215,-71.08691587166666,4.413,328078.55423297716,4689329.141210979,19,T,1.1,,5
1708069368301285092,135,1708104569000000000,GPS1_Frame,42.33723346166666,-71.08691469166666,4.382,328078.6521183967,4689329.166215631,19,T,1.1,,5
1708069369391585587,136,1708104570000000000,GPS1_Frame,42.337233491666666,-71.08691474833333,4.382,328078.64753172145,4689329.169661474,19,T,1.3,,5
1708069370397835780,137,1708104571000000000,GPS1_Frame,42.337233381666664,-71.086914715,4.394,328078.6499780838,4689329.15737942,19,T,1.3,,5
